Recency,Frequency,Monetary
15,2,902.74
91,7,878.99
40,4,2070.6
28,8,267.09
6,7,625.29
6,4,275.6
2,4,1948.27
61,3,274.15
28,5,415.3
37,6,279.28
1,7,551.76
106,6,914.83
54,2,885.02
8,9,347.69
7,9,591.71
7,4,1653.88
11,7,850.74
23,5,2510.02
17,4,1540.16
11,8,1310.47
29,4,703.63
5,5,732.09
11,8,1690.66
14,5,688.85
19,7,791.28
47,6,652.68
7,12,734.58
22,4,181.0
27,5,582.35
2,3,2024.25
29,4,150.25
6,1,598.05
3,6,1016.36
90,6,794.87
102,3,70.27
50,4,648.95
11,7,345.58
4,4,422.61
35,5,748.45
18,6,1236.09
4,3,551.79
21,5,531.48
2,5,1118.73
73,7,1104.61
9,4,281.06
33,4,3394.64
12,6,1284.02
23,5,822.58
24,6,377.72
7,7,835.75
105,6,546.34
45,2,1147.11
85,6,1299.1
68,5,587.78
28,1,1196.52
77,6,147.99
3,4,1150.5
7,5,1249.5
2,5,1059.75
12,7,2453.9
15,6,468.53
10,3,647.28
53,3,343.94
14,5,199.45
10,7,370.29
24,6,396.03
5,6,672.03
49,7,899.13
3,5,143.8
131,4,1793.68
45,4,657.59
7,6,289.46
1,5,1021.57
51,5,1288.6
37,4,660.64
40,4,181.05
45,2,218.87
3,3,2109.45
14,8,529.38
4,3,1540.69
60,5,657.76
30,4,77.33
13,4,1133.2
2,8,1458.03
12,4,1325.64
12,3,836.84
40,2,752.94
31,5,1750.69
66,3,934.85
20,5,1012.23
4,8,552.37
38,5,226.67
43,6,293.19
25,9,984.03
45,5,1086.02
21,4,2208.57
23,8,514.62
17,5,1523.42
1,6,281.96
4,9,711.19
1,5,540.07
31,4,947.55
12,2,193.72
22,2,523.66
72,9,603.32
9,6,574.22
16,4,715.57
43,6,2889.2
8,5,131.41
3,4,1513.4
11,2,327.27
6,6,1082.04
80,4,98.28
50,5,460.45
31,10,1023.84
62,8,966.39
49,6,588.46
7,5,838.35
67,2,776.65
24,8,1855.15
50,3,572.48
68,8,291.61
12,5,1176.99
4,7,1367.47
8,6,320.23
17,7,1492.23
52,7,968.96
60,3,953.65
1,6,1276.14
22,6,545.36
17,8,403.32
8,4,373.7
4,3,938.82
13,6,1785.08
86,8,990.4
12,5,928.39
22,6,464.15
37,5,802.28
14,7,1389.03
108,3,1482.21
99,6,806.92
9,4,500.01
21,7,459.09
11,5,1259.11
11,5,1610.01
2,8,624.99
29,2,359.92
21,3,850.51
2,6,843.29
10,3,1083.05
72,6,938.08
9,5,809.62
5,1,465.65
21,4,1669.2
128,4,243.03
9,2,717.56
34,4,428.03
44,6,1606.32
9,7,833.68
40,3,95.96
14,4,746.8
31,5,656.61
31,5,1339.39
24,5,771.6
3,6,964.97
55,1,2667.25
12,4,1886.72
7,6,697.91
2,7,1190.75
27,9,429.06
34,4,842.94
1,5,778.68
22,4,301.9
8,5,682.61
32,5,684.98
6,6,719.76
36,4,597.86
15,3,550.45
83,6,1628.43
5,7,1029.04
13,2,798.78
4,7,407.59
78,7,1449.89
63,6,1618.44
9,4,145.89
33,4,129.66
51,5,541.32
25,4,618.74
23,4,355.02
9,2,364.92
3,7,86.94
69,6,1743.55
70,7,645.3
31,5,903.84
13,7,776.95
13,6,404.58
39,4,603.59
69,5,2061.49
66,3,427.52
46,2,520.31
31,6,1032.25
3,4,140.87
6,8,668.22
69,9,510.96
28,8,496.49
1,7,238.52
4,1,371.63
33,4,621.21
1,3,308.92
6,7,551.72
24,7,588.11
36,8,276.39
32,3,733.85
8,8,758.56
38,2,509.67
9,4,807.54
12,4,1440.49
42,3,409.23
32,3,576.84
57,2,1001.99
33,4,1775.79
26,8,440.53
3,8,667.27
14,3,153.37
10,1,1077.18
9,4,1136.01
109,7,686.24
15,10,223.3
67,3,2107.57
30,3,848.24
48,5,925.64
21,5,1197.97
26,3,1431.83
21,7,269.06
7,5,1010.49
39,3,242.29
10,7,998.28
1,4,982.8
32,4,773.69
6,4,681.85
85,6,231.56
93,3,1721.92
74,7,3274.86
14,4,2653.82
1,4,1221.76
80,2,714.03
17,5,1260.56
103,8,1173.75
100,5,513.68
58,2,297.55
11,2,433.44
15,3,284.96
58,5,485.26
12,9,2253.32
6,4,798.28
25,5,1105.26
83,4,2150.41
36,5,603.41
26,3,952.09
4,5,1304.45
29,4,100.01
139,8,817.88
5,4,611.55
22,6,649.53
63,4,380.61
41,1,117.89
36,7,1673.97
37,8,451.38
14,6,720.23
11,5,561.44
50,2,895.85
50,9,757.5
61,5,2159.97
74,1,373.07
22,4,411.51
21,4,238.01
49,4,393.14
32,4,1129.91
37,4,260.55
48,6,2085.68
67,10,1070.3
13,5,901.0
15,2,457.02
3,2,1847.84
26,4,795.33
2,3,639.65
19,4,745.09
24,2,439.35
11,6,1018.64
27,5,609.25
1,11,515.57
2,5,1247.78
52,4,518.34
14,6,1858.94
5,3,900.84
23,4,1871.59
45,5,573.83
8,3,863.01
30,2,276.66
3,6,605.66
2,7,796.37
23,8,388.46
24,3,851.11
31,6,713.4
39,6,299.22
112,8,330.8
22,6,1785.1
12,5,343.25
48,8,626.4
10,10,3045.66
18,4,295.83
3,6,840.83
1,4,1991.4
99,2,1208.47
55,6,1227.69
36,4,1642.78
16,5,1043.91
6,7,590.25
6,4,874.87
9,5,866.1
24,9,652.39
38,7,140.72
33,3,483.75
10,4,1486.68
93,7,366.0
41,2,1477.68
25,3,426.59
29,5,972.39
17,1,502.05
9,3,498.18
14,5,241.27
43,8,1138.13
1,4,437.66
4,4,344.88
2,4,448.49
2,7,594.56
59,6,409.78
37,5,655.91
20,3,1310.91
4,6,692.21
21,7,1074.98
20,3,2142.39
6,5,356.57
18,3,1393.48
16,4,721.87
29,7,1171.39
31,4,618.68
2,2,909.81
15,4,448.06
30,8,475.58
21,7,419.89
59,2,496.66
33,4,395.57
6,8,508.14
3,5,2543.08
31,4,798.89
1,1,1131.69
27,7,460.36
85,5,289.18
26,7,770.02
15,7,652.65
31,3,1583.13
19,6,490.31
24,5,1361.84
86,7,1187.76
15,5,75.82
98,5,201.56
71,3,298.15
7,6,1414.0
3,6,318.24
4,4,1057.69
1,5,565.04
3,6,509.66
35,7,920.95
3,6,423.37
12,8,587.57
56,6,525.77
1,3,2499.87
51,8,129.44
10,2,375.61
4,6,1477.03
36,7,1338.91
30,5,903.26
63,5,295.51
40,5,2278.5
49,1,466.34
10,7,770.04
6,4,297.28
42,4,356.72
50,6,1634.99
140,6,2951.16
16,4,88.17
14,3,859.53
45,4,431.65
13,4,442.9
81,5,703.19
59,2,1211.23
17,7,1568.77
42,7,335.89
43,6,1003.96
4,6,966.93
70,4,387.52
22,2,539.16
53,1,114.27
12,4,552.71
68,2,784.8
15,5,1070.69
1,2,1153.74
71,5,364.51
3,6,472.05
12,8,174.39
90,8,506.37
